Alpheratz	And	Alpha	21	0,14000000	29,0905556	2.1
Algenib	Peg	Gamma	88	0,22000000	15,1833333	2.8
Diphda	Cet	Beta	16	0,72666667	-17,9866667	2.0
Mirach	And	Beta	43	1,16166667	35,6205556	2.1
Achernar	Eri	Alpha	0	1,62833333	-57,2366667	0.5
Hamal	Ari	Alpha	13	2,12000000	23,4625000	2.0
Polaris	UMi	Alpha	1	2,53000000	89,2641667	2.0
Mekab/Menkar	Cet	Alpha	92	3,03833333	4,0897222	2.5
Mirfak	Per	Alpha	33	3,40500000	49,8611111	1.8
Zaurak	Eri	Gamma	34	3,96666667	-13,5086111	3.0
Aldebaran	Tau	Alpha	87	4,59833333	16,5091667	0.9
Rigel	Ori	Beta	19	5,24166667	-8,2016667	0.1
Capella	Aur	Alpha	13	5,27833333	45,9980556	0.1
Betelgeuse	Ori	Alpha	58	5,92000000	7,4069444	0.5
Canopus	Car	Alpha	0	6,40000000	-52,6958333	-0.7
Sirius	CMa	Alpha	9	6,75166667	-16,7161111	-1.5
Castor	Gem	Alpha	66	7,57666667	31,8883333	2.0
Procyon	Cmi	Alpha	10	7,65500000	5,2250000	0.4
Pollux	Gem	Beta	78	7,75500000	28,0261111	1.2
Alphard	Hyd	Alpha	30	9,46000000	-8,6586111	2.0
Regulus	Leo	Alpha	32	10,14000000	11,9672222	1.4
Dubhe	UMa	Alpha	50	11,06166667	61,7511111	1.8
Zosma	Leo	Delta	68	11,23500000	20,5236111	2.6
Denebola	Leo	Beta	94	11,81833333	14,5719444	2.1
Gienah	Cor	Gamma	4	12,26333333	-17,5419444	2.6
Acrux	Cru	Alpha	0	12,44333333	-63,0991667	1.3
Vindemiatrix	Vir	Epsilon	47	13,03666667	10,9591667	2.9
Mizar	UMa	Zeta	79	13,39833333	54,9252778	2.3
Spica	Vir	Alpha	67	13,42000000	-11,1613889	1.0
Hadar	Cen	Beta	0	14,06333333	-60,3730556	0.6
Arcturus	Boo	Alpha	16	14,26166667	19,1825000	-0.0
AlphaCentauri,RigelKentaur	Cen	Alpha	0	14,66000000	-60,8338889	-0.0
ZubenElgenubi	Lib	Alpha	8	14,84500000	-15,9972222	2.8
Unukalhai	Ser	Alpha	24	15,73833333	6,4255556	2.6
Antares	Sco	Alpha	21	16,49000000	-26,4319444	1.0
Kornephoros	Her	Beta	27	16,50333333	21,4897222	2.8
Shaula	Sco	Lambda	35	17,56000000	-37,1038889	1.6
RasAlhague	Oph	OphAlpha	55	17,58166667	12,5600000	2.1
KausAustralis	Sge	Epsilon	20	18,40333333	-34,3847222	1.8
Vega	Lyr	Alpha	3	18,61500000	38,7836111	0.0
Nunki	Sge	Sigma	34	18,92166667	-26,2966667	2.0
Albireo	Cyg	Beta	6	19,51166667	27,9597222	3.1
Altair	Aql	Alpha	53	19,84666667	8,8683333	0.8
Deneb	Cyg	Alpha	50	20,69000000	45,2802778	1.2
Sadalsuud	Aqu	Beta	22	21,52500000	-5,5711111	2.9
Eniph	Peg	Epsilon	8	21,73666667	9,8750000	2.4
Sadalmelik	Aqu	Alpha	34	22,09666667	-0,3197222	3.0
Fomalhaut	PsA	Alpha	24	22,96166667	-29,6222222	1.2
Markab	Peg	Alpha	54	23,08000000	15,2052778	2.5
